正反同义标签,格式标签,否定式,肯定式
1,好不a,白愁飞正值这当儿有许多大事要做的节骨眼上，却急尔想起孙鱼近日做了许多让他不满的事，而影响较大的事至少有这几件：他派孙鱼去暗杀朱小腰，孙鱼不但无功而返，而且从万里望的报告中显示，孙鱼还趁机与王小石叙旧，一声声什么“王三当家的”、“小鱼儿”的喊得好不亲热。孙鱼竟带领王小石从“深记洞窟”劫走了他手上的重要人质，王紫萍和王天六！,白愁飞正值这当儿有许多大事要做的节骨眼上，却急尔想起孙鱼近日做了许多让他不满的事，而影响较大的事至少有这几件：他派孙鱼去暗杀朱小腰，孙鱼不但无功而返，而且从万里望的报告中显示，孙鱼还趁机与王小石叙旧，一声声什么“王三当家的”、“小鱼儿”的喊得好亲热。孙鱼竟带领王小石从“深记洞窟”劫走了他手上的重要人质，王紫萍和王天六！
0,不要太a,所用茶叶量不宜太多，但也不要太少；冲泡的热水温厦以８０℃一ｇＯＴ为。,所用茶叶量不宜太多，但也太少；冲泡的热水温厦以８０℃一ｇＯＴ为。
0,几乎没,而秦海璐自己在中戏读书四年，几乎没拍过什么戏，整日就躲在宿舍里看书练功。,而秦海璐自己在中戏读书四年，几乎拍过什么戏，整日就躲在宿舍里看书练功。
1,好不a,你这个孩子，好不天真。”“欠下多少？,你这个孩子，好天真。”“欠下多少？
1,小心别,见面时，他交给珊妮一只封了口的鸡皮纸袋，嘱咐珊妮小心别掉了。,见面时，他交给珊妮一只封了口的鸡皮纸袋，嘱咐珊妮小心掉了。
0,不要太a,”承欢仍然笑，“责己不要太严。”辛家亮知道讲不过这个机伶女，只得握住她的手深深一吻。,”承欢仍然笑，“责己太严。”辛家亮知道讲不过这个机伶女，只得握住她的手深深一吻。
1,好不a,这一下子，成了。一切都完了，好不痛快！,这一下子，成了。一切都完了，好痛快！
0,好不a,行者努着嘴道：“好不知趣！这半山之中，前不巴村，后不着店，那讨香烛？,行者努着嘴道：“好知趣！这半山之中，前不巴村，后不着店，那讨香烛？
0,好不a,“他总是打达尼埃，看了好不舒服。”我对荷西说着。,“他总是打达尼埃，看了好舒服。”我对荷西说着。
0,好不a,生力，那新加盟又充满憧憬的新兵，感觉到自己的偶像竟在别人之下，心头好不自在。八万“铁甲兵”中，绝大部分是因为拜服小白的才智，而甘心服于麾下。,生力，那新加盟又充满憧憬的新兵，感觉到自己的偶像竟在别人之下，心头好自在。八万“铁甲兵”中，绝大部分是因为拜服小白的才智，而甘心服于麾下。
1,就差没,一碟花生米、一碟五香豆腐干、一碟小脆饼，就差没有一个酒壶和酒杯。,一碟花生米、一碟五香豆腐干、一碟小脆饼，就差有一个酒壶和酒杯。
1,差点没,他正在品尝人间酷似血色的蕃茄汁，差点没被正在打坐的小喜吓得给呛到。,他正在品尝人间酷似血色的蕃茄汁，差点被正在打坐的小喜吓得给呛到。
1,就差没,“只要能在嘴奶奶二十多岁死了丈夫，粗纸也舍不得多花一张的，省吃省用养大了这么个好儿子，一个月倒也挣得二三十块钱种家养眷，奶奶这份儿老福真也不差什么咧——就差没尝过洋饽饽儿的味儿！,“只要能在嘴奶奶二十多岁死了丈夫，粗纸也舍不得多花一张的，省吃省用养大了这么个好儿子，一个月倒也挣得二三十块钱种家养眷，奶奶这份儿老福真也不差什么咧——就差尝过洋饽饽儿的味儿！
1,差点没,”“本·刚恩，本·刚恩，”希尔弗喃喃地说，“你差一点没把我吓死！,”“本·刚恩，本·刚恩，”希尔弗喃喃地说，“你差一点把我吓死！
0,差点没,她由“情”字转回，碰到他的目光，差点没听见侍者的问话。,她由“情”字转回，碰到他的目光，差点听见侍者的问话。
0,不要太a,第三、在城市道路或高速公路上行，电喷车的车速不要太保守。一些车主出于安全考虑，在高速公路上最高时速也很少超过８０公里。,第三、在城市道路或高速公路上行，电喷车的车速太保守。一些车主出于安全考虑，在高速公路上最高时速也很少超过８０公里。
1,好不a,”翠芝抗议：“梁先生，你这话好不风凉，难为我为家务度日如年。,”翠芝抗议：“梁先生，你这话好风凉，难为我为家务度日如年。
1,差点没,开开门一看，老头儿蹦着就出来啦：“哎！驴回来啦！我说王铁嘴这卦灵嘛，一副药就回来啦。驴是回来啦，我差点没拉死！”过来摸摸这驴：“驴呀！驴呀！你哪儿去啦？你可把我想死了！要没王铁嘴这副药你回不来了。”,开开门一看，老头儿蹦着就出来啦：“哎！驴回来啦！我说王铁嘴这卦灵嘛，一副药就回来啦。驴是回来啦，我差点拉死！”过来摸摸这驴：“驴呀！驴呀！你哪儿去啦？你可把我想死了！要没王铁嘴这副药你回不来了。”
1,好不a,峨嵋“伏虎掌”名闻天下，他们一个个打得虎虎生风，好不凌厉！大师兄明通看到丁天仁从外走入，立即脸色一沉，喝道：“丁师弟，你一大清早，不练功，去了那里？,峨嵋“伏虎掌”名闻天下，他们一个个打得虎虎生风，好凌厉！大师兄明通看到丁天仁从外走入，立即脸色一沉，喝道：“丁师弟，你一大清早，不练功，去了那里？
0,几乎没,粘土捏的昆虫是我在中国见到的最精致的粘土制品，其中有金龟子、蚂蚱、大甲壳虫、螳螂、正在捕食的螳螂、蟾蜍和蝎子，另外一些则是在其他国家无法看到的，还有一些我们几乎没见过的泥虫子。,粘土捏的昆虫是我在中国见到的最精致的粘土制品，其中有金龟子、蚂蚱、大甲壳虫、螳螂、正在捕食的螳螂、蟾蜍和蝎子，另外一些则是在其他国家无法看到的，还有一些我们几乎见过的泥虫子。
0,不要太a,由于近期美元有转强的迹象，只要公布的数据不要太差，美元兑日元保持在120．00以上应当没有困难。,由于近期美元有转强的迹象，只要公布的数据太差，美元兑日元保持在120．00以上应当没有困难。
1,几乎没,做父亲的向后跌了开去，几乎没跌倒在地上，南仔又指着他的父亲，大声讲了几句话，就算在再惊骇的情形之下，也可以听到南仔的声音，可是那时，南仔讲的话，他的一家人，都全部听不懂！,做父亲的向后跌了开去，几乎跌倒在地上，南仔又指着他的父亲，大声讲了几句话，就算在再惊骇的情形之下，也可以听到南仔的声音，可是那时，南仔讲的话，他的一家人，都全部听不懂！
1,好不a,当他来到巨龙身边时，这食人魔已经是挺起了胸膛，昂首阔步好不得意。一根木棍潇洒地搭在他的肩上。他毫无生命之忧地站在巨大的躯体前，而且他很想上去揣一脚。不过卡尔提福特还是很满足地往巨龙的身上啐了一口。,当他来到巨龙身边时，这食人魔已经是挺起了胸膛，昂首阔步好得意。一根木棍潇洒地搭在他的肩上。他毫无生命之忧地站在巨大的躯体前，而且他很想上去揣一脚。不过卡尔提福特还是很满足地往巨龙的身上啐了一口。
0,几乎没,罗维民几乎没作任何停留，绕过处理现场的车辆和人群，向赶来现场的交警亮明身分，...,罗维民几乎作任何停留，绕过处理现场的车辆和人群，向赶来现场的交警亮明身分，...
1,差点没,这小高也太讨厌了，我差一点没哭出来。,这小高也太讨厌了，我差一点哭出来。
1,差点没,”说得这一对年轻人差一点没掉下眼泪来。,”说得这一对年轻人差一点掉下眼泪来。
1,差点没,突然，她被凑近的一张笑脸吓了一大跳，差点没惊叫出声。,突然，她被凑近的一张笑脸吓了一大跳，差点惊叫出声。
1,好不a,还有那掩在薄纱内，鲜艳欲滴的胴体，若隐若现的，好不诱人，两个男人都恨不得赶紧用布把她彻彻底底包裹起来，不要让对方看到。,还有那掩在薄纱内，鲜艳欲滴的胴体，若隐若现的，好诱人，两个男人都恨不得赶紧用布把她彻彻底底包裹起来，不要让对方看到。
0,好不a,“想到要在医院过夜，我就觉得好不自在哦！,“想到要在医院过夜，我就觉得好自在哦！
1,差点没,那位头发很光的小伙子差点儿没哭出来。,那位头发很光的小伙子差点儿哭出来。
0,几乎没,这里山大沟深，经济落后，文化生活贫乏，２０多年来，几乎没放过电影。,这里山大沟深，经济落后，文化生活贫乏，２０多年来，几乎放过电影。
1,差点没,”他假装镇定，内心差点没昏倒。,”他假装镇定，内心差点昏倒。
0,不要太a,”又对老孙说：“你也不要太生气，大家找你闹，而不去找华文贤闹，正说明了你在大家心里的分量。,”又对老孙说：“你也太生气，大家找你闹，而不去找华文贤闹，正说明了你在大家心里的分量。
1,差点没,”这句话差点没把百合给吓死，她不安的看着玫瑰，吶吶的说：“你要做什么？,”这句话差点把百合给吓死，她不安的看着玫瑰，吶吶的说：“你要做什么？
1,差点没,再看到永琪的人，老陈一吓之下差点没有屁滚尿流．他慌慌张张的放开怜情，然后一刻也不敢耽搁的逃走了！,再看到永琪的人，老陈一吓之下差点屁滚尿流．他慌慌张张的放开怜情，然后一刻也不敢耽搁的逃走了！
1,差点没,”站在门口的郭健听了这句话，差一点没笑出声来：这叫什么话呢？,”站在门口的郭健听了这句话，差一点笑出声来：这叫什么话呢？
1,好不a,好不啰嗦！应该让你陪同小鹤和彩蝶到江南去寻人，省得我耳膜受罪。,好啰嗦！应该让你陪同小鹤和彩蝶到江南去寻人，省得我耳膜受罪。
1,看我不,”熊大师兄，他若不姓沙还罢了，否则，我熊霸天找他单挑，看我不扭断他娘的脖子根！,”熊大师兄，他若不姓沙还罢了，否则，我熊霸天找他单挑，看我扭断他娘的脖子根！
0,难免不,"在现场协助清点并鉴定武器种类的美军士兵,看到这些物件难免不寒而栗--它们中的任何一件都有可能使他们在伊拉克命丧黄泉。","在现场协助清点并鉴定武器种类的美军士兵,看到这些物件难免寒而栗--它们中的任何一件都有可能使他们在伊拉克命丧黄泉。"
1,小心别,下次再有人去苏州，一定要小心别上那些带路者的当，如果跟他们去买衣服，他们一定要向老板拿回扣，那肯定比自己直接向店家买要贵很多。,下次再有人去苏州，一定要小心上那些带路者的当，如果跟他们去买衣服，他们一定要向老板拿回扣，那肯定比自己直接向店家买要贵很多。
1,差点没,练了一个礼拜，她差点儿没累死。,练了一个礼拜，她差点儿累死。
1,难免不,也有人仍想挤到近处，难免不挨了锦衣卫和兵马司的皮鞭、棍棒，更严重的是加一个在皇后千秋节扰乱经场的罪名，用绳子捆了带走。,也有人仍想挤到近处，难免挨了锦衣卫和兵马司的皮鞭、棍棒，更严重的是加一个在皇后千秋节扰乱经场的罪名，用绳子捆了带走。
1,好不a,然而，这消息毕竟传到洛阳城了——早晨的阳光温柔地射进了木窗，其心施施然从床上坐了起来，他把窗子推得更开一些，窗外，一片光明晨景好不美丽。其心把被子踢开，轻轻跃下床来，他推开房门，门口已站了两个人。,然而，这消息毕竟传到洛阳城了——早晨的阳光温柔地射进了木窗，其心施施然从床上坐了起来，他把窗子推得更开一些，窗外，一片光明晨景好美丽。其心把被子踢开，轻轻跃下床来，他推开房门，门口已站了两个人。
0,差点没,一把抓住公爵夫人的手，仿佛她想溜掉，仿佛她想溜掉，他差点儿没有把她留住似的,一把抓住公爵夫人的手，仿佛她想溜掉，仿佛她想溜掉，他差点儿有把她留住似的
0,不要太a,（２）在妊娠中后期加强运动，营养浓度不要太高。（３）使用前列腺，使其比预产期提前１～２天产仔，最好控制在白天产仔，便于助产（一般在当日早晨注射１支，第二天上午开始产仔）。,（２）在妊娠中后期加强运动，营养浓度太高。（３）使用前列腺，使其比预产期提前１～２天产仔，最好控制在白天产仔，便于助产（一般在当日早晨注射１支，第二天上午开始产仔）。
1,好不a,※※※星期二机场内人来人往好不热闹，若不是费天翔在电话里再三的恳求，戴晴才不想来送这个害她和费云翔大吵一架的罪魁祸首，但，当她见着费天翔，却不免为他浑身的伤大惊，大惊失色的追问：“你怎么啦？,※※※星期二机场内人来人往好热闹，若不是费天翔在电话里再三的恳求，戴晴才不想来送这个害她和费云翔大吵一架的罪魁祸首，但，当她见着费天翔，却不免为他浑身的伤大惊，大惊失色的追问：“你怎么啦？
1,好不a,炎热的下午的阳光从两扇大窗户漾进来，她往椅背上一靠，伸出双脚，好不惬意！太阳离开了阳台，石墩上几个陶制花盆里可怜的植物耐不住炎热，蜷缩起干巴巴的叶子；阳台一角的木板上那口圆圆的锅里，一棵荷兰芹却倍受照料，生机勃勃；猫在一块席子上睡得正香，墩布挂在绳子上晒晾；外面，湛蓝“你胃口不错，若安娜太太，胃口不错！,炎热的下午的阳光从两扇大窗户漾进来，她往椅背上一靠，伸出双脚，好惬意！太阳离开了阳台，石墩上几个陶制花盆里可怜的植物耐不住炎热，蜷缩起干巴巴的叶子；阳台一角的木板上那口圆圆的锅里，一棵荷兰芹却倍受照料，生机勃勃；猫在一块席子上睡得正香，墩布挂在绳子上晒晾；外面，湛蓝“你胃口不错，若安娜太太，胃口不错！
1,难免不,尧说：“儿子多了，无力管教，将成为负累；财富多了，不善处理，必多事端；而活得太久，就难免不被人诟辱为老而不死。,尧说：“儿子多了，无力管教，将成为负累；财富多了，不善处理，必多事端；而活得太久，就难免被人诟辱为老而不死。
1,就差没,他的手已经举起来，[就差没]有打下去。,他的手已经举起来，[就差没]有打下去。
1,好不a,偏偏天冷山高，火势不易燃大，白粥较难煮开，急得她好不心焦。好不容易盼到粥热，赶忙取来，并将父亲扶起，靠在石壁，一口口喂食过去，仍自不断问着：“爹爹您觉得如何？,偏偏天冷山高，火势不易燃大，白粥较难煮开，急得她好心焦。好不容易盼到粥热，赶忙取来，并将父亲扶起，靠在石壁，一口口喂食过去，仍自不断问着：“爹爹您觉得如何？
1,差点没,”田蜜差点没跪下来求他们。,”田蜜差点跪下来求他们。
0,不要太a,“老太太也不要太高兴，不家肯不肯，还在未知之数。,“老太太也太高兴，不家肯不肯，还在未知之数。
0,几乎没,只剩一条腿的小兵王浦生几乎没穿衣服，只穿着各种绷带。,只剩一条腿的小兵王浦生几乎穿衣服，只穿着各种绷带。
1,好不a,啸声一进洞，一进了这矮矮小小，狭窄的洞穴，便变得更响了，那声音直钻入郭无雨的耳中，好不难受。郭无雨年纪还小，更没什么功力，如何能抵御黑衣人的啸声？,啸声一进洞，一进了这矮矮小小，狭窄的洞穴，便变得更响了，那声音直钻入郭无雨的耳中，好难受。郭无雨年纪还小，更没什么功力，如何能抵御黑衣人的啸声？
1,好不a,就在切尼访问唐宁街的那一天，７０名议员联合签署的一份“深表不安”的动议书送到了唐宁街１０号，令布莱尔好不尴尬。此外，美国副总统切尼访问中东１１国时遭到的冷遇，使“烫手山芋”变得更烫手了。,就在切尼访问唐宁街的那一天，７０名议员联合签署的一份“深表不安”的动议书送到了唐宁街１０号，令布莱尔好尴尬。此外，美国副总统切尼访问中东１１国时遭到的冷遇，使“烫手山芋”变得更烫手了。
1,就差没,我为那些花瓣鞠了一把泪，就差没学黛玉葬花了。,我为那些花瓣鞠了一把泪，就差学黛玉葬花了。
0,差点没,水若在睡梦中被他压得差点没了气，猛然惊醒过来，连连咳了几声才回过气。,水若在睡梦中被他压得差点了气，猛然惊醒过来，连连咳了几声才回过气。
1,难免不,新任财政大臣克拉克表示，只靠经济复苏不能解决赤字问题，而加税又难免不影响刚刚复苏的经济。,新任财政大臣克拉克表示，只靠经济复苏不能解决赤字问题，而加税又难免影响刚刚复苏的经济。
1,差点没,雷环山乍听到这个消息时，却像被人从背后猛击了一掌，差点没昏厥过去。,雷环山乍听到这个消息时，却像被人从背后猛击了一掌，差点昏厥过去。
0,几乎没,罗维民几乎没作任何停留，绕过处理现场的车辆和人群，向赶来现场的交警亮明身分，可能是由于前面做了工作的原因，公路上的车辆越来越稀少，于是罗维民的车也就越开越快。,罗维民几乎作任何停留，绕过处理现场的车辆和人群，向赶来现场的交警亮明身分，可能是由于前面做了工作的原因，公路上的车辆越来越稀少，于是罗维民的车也就越开越快。
0,几乎没,"从澳大利亚返回已经六年了,但移民的苦难和这六年时光几乎没在AA身上留下痕迹,她就像一株鲜活水灵的植物","从澳大利亚返回已经六年了,但移民的苦难和这六年时光几乎在AA身上留下痕迹,她就像一株鲜活水灵的植物"
1,好不a,中山公园门前，卖小兔子、小鸡、小鸭、小豚猪的小贩也像被一夜春风催生出来似的，好不热闹，吸引了众多小孩子和年轻人的流连。,中山公园门前，卖小兔子、小鸡、小鸭、小豚猪的小贩也像被一夜春风催生出来似的，好热闹，吸引了众多小孩子和年轻人的流连。
0,不要太a,“皓祯，你不要太难过，”吟霜咽着泪说：“说不定我是一只白狐，你就当我是只白狐吧！,“皓祯，你太难过，”吟霜咽着泪说：“说不定我是一只白狐，你就当我是只白狐吧！
1,好不a,”李存孝好不窘迫，道：“这个……我倒没听她说什么。,”李存孝好窘迫，道：“这个……我倒没听她说什么。
0,不要太a,为避免类似情况发生，对初次接受短化和药物服的病人，第一次发药不要太多，以１周蠢为，并对病人详细说明用药方法及注意事项。,为避免类似情况发生，对初次接受短化和药物服的病人，第一次发药太多，以１周蠢为，并对病人详细说明用药方法及注意事项。
0,几乎没,李推门进来的时候，我几乎没敢看坐在屋里的杨，李和杨在大学中那段尽人皆知的感情，让围坐叙旧的人们一下子失去了和尴尬抗衡的勇气。,李推门进来的时候，我几乎敢看坐在屋里的杨，李和杨在大学中那段尽人皆知的感情，让围坐叙旧的人们一下子失去了和尴尬抗衡的勇气。
0,差点没,”我差一点儿没抓住燕妮那只藏在皮大衣肥大衣袖中的手。,”我差一点儿抓住燕妮那只藏在皮大衣肥大衣袖中的手。
0,几乎没,老一代敦煌保护专家李云鹤说，从1944年敦煌艺术研究所成立到现在，莫高窟清沙工作几乎没停过。,老一代敦煌保护专家李云鹤说，从1944年敦煌艺术研究所成立到现在，莫高窟清沙工作几乎停过。
1,差点没,四肢突然颤抖，浑身打了一个寒噤，趔趄了一下，心里猛的一惊，差点儿没有摔倒。,四肢突然颤抖，浑身打了一个寒噤，趔趄了一下，心里猛的一惊，差点儿摔倒。
0,好不a,他这种深情的样子看得日烨好不自在。莫名的感动也在她的心中泛开来。,他这种深情的样子看得日烨好自在。莫名的感动也在她的心中泛开来。
0,几乎没,几乎没用多少市场推销攻势，亚运村以自身的知名度高、条件优越、服务功能齐...,几乎用多少市场推销攻势，亚运村以自身的知名度高、条件优越、服务功能齐...
1,小心别,特地从河南林县打来长途电话，嘱咐“老穆”要多穿衣服，小心别着凉……,特地从河南林县打来长途电话，嘱咐“老穆”要多穿衣服，小心着凉……
1,差点没,”不知是夸或贬，他笑到差点没呛到，还是一字不漏地说得很清楚。,”不知是夸或贬，他笑到差点呛到，还是一字不漏地说得很清楚。
1,就差没,”小林急得就差没跳起来。,”小林急得就差跳起来。
0,不要太a,当您收下了人家一点点轻微的礼品，叫我用许多贵重的东西酬答他们的时候，我总是摇头流泪，甚至于不顾自己卑贱的身分，再三劝告您不要太慷慨了。,当您收下了人家一点点轻微的礼品，叫我用许多贵重的东西酬答他们的时候，我总是摇头流泪，甚至于不顾自己卑贱的身分，再三劝告您太慷慨了。
1,好不a,韩江也暗暗觉得有些古怪，看殊儿在厅里游来荡去好不焦急，便道：“那我们同去魏先生的书房看看就是。,韩江也暗暗觉得有些古怪，看殊儿在厅里游来荡去好焦急，便道：“那我们同去魏先生的书房看看就是。
0,几乎没,很瘦，面色潮红，眼睛发亮，身上几乎没穿什么，一条紧绷绷的三角裤衩形迹可疑地鼓着。,很瘦，面色潮红，眼睛发亮，身上几乎穿什么，一条紧绷绷的三角裤衩形迹可疑地鼓着。
0,几乎没,她被强逼去学校学习她漏掉的许多课程，因为之前几乎没上过几堂课，她根本大字不认得几个，她那特殊敏锐的能力更加的令她感受到他人的情绪，学习所带来的障碍、同学的舢笑及恶意的作弄、老师自以为是的责骂每每令她一下课就躲在厕所哭泣。,她被强逼去学校学习她漏掉的许多课程，因为之前几乎上过几堂课，她根本大字不认得几个，她那特殊敏锐的能力更加的令她感受到他人的情绪，学习所带来的障碍、同学的舢笑及恶意的作弄、老师自以为是的责骂每每令她一下课就躲在厕所哭泣。
1,好不a,人，只是由于习俗的原因勉强为之，为的是给自己保留结婚的可能性，可他们很少想象男欢女爱所能带来的乐趣，因而容不得他们心爱的男人去品尝此种乐趣；后一原因是在他们与女人的关系中，他们为爱女色的女人扮演了另一个女人的角色，而与此同时，女人也差不多给他们提供了他们从男人身上获得的乐趣，以致妒火中烧的男友，一想到他情之所钟的男子竟与在他看来活脱脱是个男人的女人结合，心中好不痛苦，他同时感到心爱的男友就要摆脱他，因为对那些女人来说，这男子有点味儿，有点儿女人的我们暂且也不提那些疯狂少年，他们孩子气十足，故意戏弄朋友，冒犯父母，几近疯狂地热衷于选择裙袍之类的服装，抹口红，画眉黛；这些人姑且不提，因为末了遇到的往往是这种人，他们无论有多冷酷，却再也难以忍受自我作践带来的痛苦，于是便会一辈子规规矩矩，俨然似新教徒，试图纠正过去一时中邪铸成的过,人，只是由于习俗的原因勉强为之，为的是给自己保留结婚的可能性，可他们很少想象男欢女爱所能带来的乐趣，因而容不得他们心爱的男人去品尝此种乐趣；后一原因是在他们与女人的关系中，他们为爱女色的女人扮演了另一个女人的角色，而与此同时，女人也差不多给他们提供了他们从男人身上获得的乐趣，以致妒火中烧的男友，一想到他情之所钟的男子竟与在他看来活脱脱是个男人的女人结合，心中好痛苦，他同时感到心爱的男友就要摆脱他，因为对那些女人来说，这男子有点味儿，有点儿女人的我们暂且也不提那些疯狂少年，他们孩子气十足，故意戏弄朋友，冒犯父母，几近疯狂地热衷于选择裙袍之类的服装，抹口红，画眉黛；这些人姑且不提，因为末了遇到的往往是这种人，他们无论有多冷酷，却再也难以忍受自我作践带来的痛苦，于是便会一辈子规规矩矩，俨然似新教徒，试图纠正过去一时中邪铸成的过
0,不要太a,３防盗选择优良蜜源场地，间距离不要太近；根据季节、气候、地形，灵活摆放排列蜂群，预防盗和迷巢。,３防盗选择优良蜜源场地，间距离太近；根据季节、气候、地形，灵活摆放排列蜂群，预防盗和迷巢。
1,好不a,小姑娘哇哇地哭叫起来，那女人骂道：“揍死你这小杂种，你再哭！成天活也不干，白吃白喝，咱们小门小户，翻土拉块的人家，能养活起你吗？见天吃得饱饱的，喝得足足的，去串门子，倒好不自在！”,小姑娘哇哇地哭叫起来，那女人骂道：“揍死你这小杂种，你再哭！成天活也不干，白吃白喝，咱们小门小户，翻土拉块的人家，能养活起你吗？见天吃得饱饱的，喝得足足的，去串门子，倒好自在！”
0,好不a,＂雨梅顿觉这对沙慕凡来说，好不公平呀！,＂雨梅顿觉这对沙慕凡来说，好公平呀！
1,好不a,来的是一小队衙差，约十二三人，由一统带领队，大摇大摆，好不威风。他们选了一户人家。,来的是一小队衙差，约十二三人，由一统带领队，大摇大摆，好威风。他们选了一户人家。
0,不要太a,小叶，放心大胆地找，眼光不要太高。谁敢说三道四，我来批他！,小叶，放心大胆地找，眼光太高。谁敢说三道四，我来批他！
0,不要太a,你眼光不要太高，要不然就会像陈先生他儿子一样讨不到老婆哟。,你眼光太高，要不然就会像陈先生他儿子一样讨不到老婆哟。
1,差点没,三妖徒本来一肚子的恶气无从发泄，行经崖口前面，正在互相谈论，不料一条大柏木船由左侧断崖缺口内冲波乱流横断过来，差一点没有撞上。,三妖徒本来一肚子的恶气无从发泄，行经崖口前面，正在互相谈论，不料一条大柏木船由左侧断崖缺口内冲波乱流横断过来，差一点撞上。
1,好不a,‘寒泉冰’一个翻身，天马掠空，已飞过他头顶，挡在前头，目中凶光闪闪，宛如藏着什么妖魔鬼怪，好不吓人：“干什么？,‘寒泉冰’一个翻身，天马掠空，已飞过他头顶，挡在前头，目中凶光闪闪，宛如藏着什么妖魔鬼怪，好吓人：“干什么？
1,差点没,”高人凤摸摸头道：“我是糊涂了，所以才没有想到这一层，不过到后来，你把紫凤钗还给师妹，我才想到是她，当然还有一部分的推究和茜妹是相同的……”刘翩翩讪然笑道：“你跟谢姊姊同必同德，想法自然是一致的，只苦了我，刚才差点没拉出剑来抹了脖子！,”高人凤摸摸头道：“我是糊涂了，所以才没有想到这一层，不过到后来，你把紫凤钗还给师妹，我才想到是她，当然还有一部分的推究和茜妹是相同的……”刘翩翩讪然笑道：“你跟谢姊姊同必同德，想法自然是一致的，只苦了我，刚才差点拉出剑来抹了脖子！
0,几乎没,火灾扑灭后，记者多次进入严密封锁的火灾现场，眼前见到的只是黑漆漆的废墟，几乎没留下什么完整的物件。,火灾扑灭后，记者多次进入严密封锁的火灾现场，眼前见到的只是黑漆漆的废墟，几乎留下什么完整的物件。
0,不要太a,”刘备与关羽正走间，忽碰到单福之妹冬梅，玄德忙关切的道：“冬梅，你不要太悲伤了。,”刘备与关羽正走间，忽碰到单福之妹冬梅，玄德忙关切的道：“冬梅，你太悲伤了。
